City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,73.26,light rain,-23.1203,-134.9692,People ThankYou
4,Klyuchi,RU,72.12,broken clouds,52.2667,79.1667,Vesolaya Mayovka
17,Buchanan,LR,73.83,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
20,Pontes E Lacerda,BR,70.59,few clouds,-15.2261,-59.3353,Hotel Bressan
26,Ust-Karsk,RU,74.98,clear sky,52.7011,118.8077,
36,Cedar City,US,71.4,broken clouds,37.6775,-113.0619,Hampton Inn Cedar City
40,Micheweni,TZ,72.66,broken clouds,-4.9667,39.8333,
43,Braganca,BR,72.68,few clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
45,Pocone,BR,74.32,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
79,Machico,PT,72.23,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
83,Albany,US,74.05,clear sky,42.6001,-73.9662,
88,Vila Franca Do Campo,PT,72.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
91,Ribeira Grande,PT,72.9,few clouds,38.5167,-28.7,Quinta da Meia Eira
104,Carnarvon,AU,71.37,light rain,-24.8667,113.6333,Hospitality Carnarvon
106,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
112,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
124,Arraial Do Cabo,BR,70.81,few clouds,-22.9661,-42.0278,Pousada Porto Praia
125,Basoko,CD,70.43,overcast clouds,1.2391,23.616,Jackyna Hotel
130,Lagoa,PT,71.44,clear sky,39.05,-27.9833,Casa Das Faias
153,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
171,Mantua,IT,72.95,broken clouds,45.1667,10.7833,Hotel la Favorita
184,Meulaboh,ID,74.41,moderate rain,4.1363,96.1285,Kost Pria
189,Arcos De La Frontera,ES,74.07,clear sky,36.7508,-5.8106,Parador de Arcos de la Frontera
210,Birjand,IR,73.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
211,Beyneu,KZ,74.43,clear sky,45.3167,55.2,NUR
213,Thompson,CA,73.56,scattered clouds,55.7435,-97.8558,Burntwood Hotel
226,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
234,Ust-Nera,RU,71.08,overcast clouds,64.5667,143.2,Hotel Ust-Nera
247,Inirida,CO,73.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
254,Oakdale,US,72.16,few clouds,44.963,-92.9649,Hilton Garden Inn St. Paul/Oakdale
257,Malakal,SS,71.58,overcast clouds,9.5334,31.6605,Nile Palace Hotel
290,Bundaberg,AU,71.22,scattered clouds,-24.85,152.35,Takalvan Motel
294,Biak,ID,73.24,overcast clouds,-0.9131,122.8766,Penginapan Kim
297,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
298,Tiznit,MA,73.04,clear sky,29.5833,-9.5,
306,Asfi,MA,70.02,few clouds,32.2994,-9.2372,Hôtel Abda
310,Boende,CD,71.46,overcast clouds,-0.2167,20.8667,
330,Maracacume,BR,72.36,scattered clouds,-2.0428,-45.9592,Hotel Ramos
345,Sao Joao Da Barra,BR,70.11,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
365,Wamba,NG,70.27,moderate rain,8.9333,8.6,Roma Zee Guest House Annex
372,Tynda,RU,72.21,broken clouds,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
