City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,58,5.99,broken clouds,2022-07-29 01:38:15
1,Rikitea,PF,-23.1203,-134.9692,73.26,75,6,21.16,light rain,2022-07-29 01:38:15
2,Esperance,AU,-33.8667,121.9,63.9,73,93,15.05,light rain,2022-07-29 01:38:16
3,Port Macquarie,AU,-31.4333,152.9167,63.9,44,9,13.65,clear sky,2022-07-29 01:38:16
4,Klyuchi,RU,52.2667,79.1667,72.12,50,63,11.95,broken clouds,2022-07-29 01:38:16
5,Hithadhoo,MV,-0.6,73.0833,81.88,73,100,13.44,overcast clouds,2022-07-29 01:38:17
6,Dodge City,US,37.7528,-100.0171,78.69,68,95,8.01,overcast clouds,2022-07-29 01:38:17
7,Yinchuan,CN,38.4681,106.2731,84.81,29,1,8.75,clear sky,2022-07-29 01:38:17
8,Iqaluit,CA,63.7506,-68.5145,49.73,71,75,2.3,broken clouds,2022-07-29 01:38:18
9,Mar Del Plata,AR,-38.0023,-57.5575,48.22,94,100,13.8,drizzle,2022-07-29 01:38:18
10,Barrow,US,71.2906,-156.7887,35.62,93,100,13.8,mist,2022-07-29 01:38:18
11,Te Anau,NZ,-45.4167,167.7167,44.64,85,87,4.27,moderate rain,2022-07-29 01:38:19
12,Bemidji,US,47.4736,-94.8803,61.38,95,40,0.0,scattered clouds,2022-07-29 01:35:53
13,Kavieng,PG,-2.5744,150.7967,84.76,70,51,16.64,broken clouds,2022-07-29 01:38:19
14,Langxiang,CN,46.95,128.8833,76.77,92,100,3.04,overcast clouds,2022-07-29 01:38:19
15,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,11.5,light intensity drizzle rain,2022-07-29 01:38:20
16,Yellowknife,CA,62.456,-114.3525,68.52,40,75,9.22,broken clouds,2022-07-29 01:38:20
17,Buchanan,LR,5.8808,-10.0467,73.83,74,55,7.9,broken clouds,2022-07-29 01:38:20
18,Lavrentiya,RU,65.5833,-171.0,46.22,86,99,4.59,overcast clouds,2022-07-29 01:38:21
19,Asyut,EG,27.181,31.1837,82.58,19,57,5.28,broken clouds,2022-07-29 01:38:21
20,Pontes E Lacerda,BR,-15.2261,-59.3353,70.59,40,12,1.41,few clouds,2022-07-29 01:38:21
21,Tasiilaq,GL,65.6145,-37.6368,39.36,95,100,3.74,overcast clouds,2022-07-29 01:38:22
22,Broken Hill,AU,-31.95,141.4333,54.75,40,100,8.63,overcast clouds,2022-07-29 01:38:22
23,Bengkulu,ID,-3.8004,102.2655,81.79,72,69,2.91,broken clouds,2022-07-29 01:38:22
24,La Ronge,CA,55.1001,-105.2842,77.25,44,75,5.75,broken clouds,2022-07-29 01:33:29
25,Chokurdakh,RU,70.6333,147.9167,60.85,31,100,14.38,overcast clouds,2022-07-29 01:38:23
26,Ust-Karsk,RU,52.7011,118.8077,74.98,44,1,3.87,clear sky,2022-07-29 01:38:23
27,Purpe,RU,64.4803,76.6897,66.13,63,10,9.24,clear sky,2022-07-29 01:38:24
28,Taltal,CL,-25.4,-70.4833,58.1,79,88,1.34,overcast clouds,2022-07-29 01:38:24
29,Mataura,NZ,-46.1927,168.8643,47.48,80,97,4.23,overcast clouds,2022-07-29 01:38:24
30,Port Elizabeth,ZA,-33.918,25.5701,59.31,70,0,4.61,clear sky,2022-07-29 01:38:25
31,Bredasdorp,ZA,-34.5322,20.0403,55.0,64,2,12.12,clear sky,2022-07-29 01:38:25
32,Hobart,AU,-42.8794,147.3294,48.06,64,20,14.97,few clouds,2022-07-29 01:35:27
33,Saint-Philippe,RE,-21.3585,55.7679,65.21,82,37,7.67,scattered clouds,2022-07-29 01:38:25
34,Ushuaia,AR,-54.8,-68.3,38.86,81,40,9.22,light rain,2022-07-29 01:38:26
35,Kapaa,US,22.0752,-159.319,84.18,78,75,8.05,broken clouds,2022-07-29 01:38:26
36,Cedar City,US,37.6775,-113.0619,71.4,60,75,8.05,broken clouds,2022-07-29 01:34:04
37,Jamestown,US,42.097,-79.2353,76.59,51,0,8.05,clear sky,2022-07-29 01:35:58
38,Ancud,CL,-41.8697,-73.8203,44.22,79,100,4.47,overcast clouds,2022-07-29 01:34:15
39,Portland,US,45.5234,-122.6762,97.95,47,20,8.05,few clouds,2022-07-29 01:38:27
40,Micheweni,TZ,-4.9667,39.8333,72.66,85,68,8.1,broken clouds,2022-07-29 01:38:27
41,San Andres,CO,12.5847,-81.7006,82.42,83,40,5.75,scattered clouds,2022-07-29 01:37:41
42,Hermosillo,MX,29.0667,-110.9667,75.11,88,100,9.22,light rain,2022-07-29 01:35:29
43,Braganca,BR,-1.0536,-46.7656,72.68,98,19,2.01,few clouds,2022-07-29 01:38:28
44,Alofi,NU,-19.0595,-169.9187,78.69,73,75,17.27,broken clouds,2022-07-29 01:38:28
45,Pocone,BR,-16.2567,-56.6228,74.32,30,10,0.85,clear sky,2022-07-29 01:38:28
46,Byron Bay,AU,-28.65,153.6167,65.71,55,0,1.68,clear sky,2022-07-29 01:34:54
47,Tres Arroyos,AR,-38.3739,-60.2798,40.15,73,5,7.07,clear sky,2022-07-29 01:38:29
48,Torbay,CA,47.6666,-52.7314,54.75,93,100,11.5,mist,2022-07-29 01:38:29
49,Vaini,TO,-21.2,-175.2,80.76,89,40,10.36,scattered clouds,2022-07-29 01:39:30
50,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,100,14.97,overcast clouds,2022-07-29 01:39:30
